,word1,word2,word3,word4
0,æble,pære,kirsebær,stol
1,stol,bord,reol,græs
2,græs,træ,blomst,bil
3,bil,cykel,tog,vind
4,vind,regn,solskin,mandag
5,mandag,tirsdag,søndag,tømrer
6,tømrer,vvs-mand,snedker,barn
7,barn,far,mormor,lampe
8,lampe,stearinlys,lommelygte,jern
9,jern,guld,magnesium,sjov
10,sjov,dårlig,vanvittig,papir
11,papir,ringbind,blyant,vagt
12,vagt,politimand,fængselsbetjent,by
13,by,landsby,købstad,småkage
14,småkage,citronmåne,kringle,dør
15,dør,væg,vindue,klaver
16,klaver,trompet,blokfløjte,fandens
17,fandens,fuck,sgu,vand
18,vand,jord,ild,hukommelse
19,hukommelse,intelligens,emotion,niels bohr
20,monaco,paris,milano,pia
21,pia,lone,marianne,ole
22,bold,fjerbold,puck,mave
23,mave,bryst,ryg,hat
24,hat,kasket,hue,ishockey
25,ishockey,skiløb,skihop,fodbold
26,gå,løbe,kravle,sidde
27,rød,blå,violet,himmel
28,finland,sverige,norge,kina
29,kina,japan,sydkorea,irland
30,humor,komedie,comedy,beskidt
31,vaskemaskine,strygejern,tørretumbler,beskidt
32,restaurant,café,bar,øl
33,øl,vin,spiritus,køkken
34,køkken,baderum,stue,øl
35,wing,back,forward,vinge
36,vinge,landingsstel,propel,kartoffel
37,kartoffel,frikadelle,salat,pejs
38,viborg,randers,hobro,kattegat
39,kattegat,øresund,alssund,sjælland
40,eg,lærketræ,æbletræ,slange
41,hugorm,pyton,snog,hund
42,ko,so,hest,krappe
43,ugle,krage,måge,hund
44,hund,ræv,ulv,krappe
45,spilletid,halvleg,dommer,ræv
46,tv,radio,telefon,klud
47,ondt,forfærdeligt,skrækkeligt,herligt
48,hoppende,dansende,løbende,døende
49,saver,hamrer,skruer,aer
50,går,spadserer,vandrer,siger
51,gange,dividere,lægge sammen,vandrer
52,mener,tror,ved,går
53,fire,fem,sytten,aldrig
54,nielsen,jensen,olsen,kassen
55,mega,kæmpe,enorm,smule
56,kufferter,tasker,bæreposer,styrelser
57,landstræner,håndboldekspert,mål,rum
58,trup,gruppe,hold,sti
59,grafik,figur,plot,lån
60,januar,maj,juni,ur
61,angiveligt,muligvis,sandsynligvis,nutidigt
62,oplysninger,data,informationer,fjerner
63,fire minutter,tre timer,en uge,to piger
64,instrumentbrættet,motorer,cockpit,sagen
65,anmeldelse,politi,forbrydelse,kaffe
66,instrueret,organiseret,ledet,skuffet
67,billede,foto,tegning,skål
68,kapitel,paragraf,sektion,park
69,virksomhed,firma,selskab,sovs
70,diplom,udmærkelse,pris,øremærke
71,bange,urolig,nervøs,ordentlig
72,norsk,engelsk,spansk,falsk
73,mus,tastatur,skærm,bræt
74,dør,kradser af,udånder,åbner
75,og,samt,endvidere,sin
76,hans,sit,vores,vises
77,stod og råbte,lå og sov,sad og så,mand og kvinde
78,frokost,morgenmad,brunch,måne
79,mænd,personer,individer,gange
80,kidnappe,røve,stjæle,køre
81,råbte,skreg,larmede,vuggede
82,kontorist,embedsmand,bureaukrat,spisebord
83,vegetation,krat,bed,skur
84,cyklist,bilist,chauffør,ekspedient
85,bibliotek,bog,låner,flag
86,halvsyg,forkølelse,hoster,vej
87,musik,node,rytme,leder
88,rapport,sagsakt,artikel,spand
89,tekande,vinflaske,slikskål,racerbil
90,forhører,spørger,anmoder,banker
91,fremtidige,fortidige,nutidige,havdige
92,kanal,flod,bæk,spejl
93,kanal,program,udsendelse,vask
